Age,Annual_Income_k$,Spending_Score,Online_Purchases_per_Month,Tenure_Years,True_Segment
42,135,28,3,11,Wealthy Conservative
52,17,37,6,1,Price Sensitive
55,98,76,10,13,Premium Loyal
53,123,83,13,10,Premium Loyal
37,109,74,23,12,Premium Loyal
41,148,41,6,6,Wealthy Conservative
42,102,97,10,13,Premium Loyal
25,18,39,1,2,Price Sensitive
26,56,75,19,3,Impulse Young
44,146,92,12,5,Premium Loyal
43,15,35,3,4,Price Sensitive
49,159,35,8,11,Wealthy Conservative
48,143,95,23,5,Premium Loyal
22,54,69,11,2,Impulse Young
53,35,23,4,5,Price Sensitive
48,99,97,10,9,Premium Loyal
30,31,37,7,2,Price Sensitive
45,126,20,3,6,Wealthy Conservative
36,141,98,24,14,Premium Loyal
20,44,78,13,3,Impulse Young
55,20,22,5,2,Price Sensitive
37,130,90,21,10,Premium Loyal
45,111,72,22,14,Premium Loyal
37,41,36,7,2,Price Sensitive
37,36,17,5,3,Price Sensitive
27,33,27,2,3,Price Sensitive
31,28,10,5,1,Price Sensitive
28,25,93,12,2,Impulse Young
18,57,76,8,1,Impulse Young
44,149,40,8,8,Wealthy Conservative
37,97,89,22,9,Premium Loyal
43,80,85,19,11,Premium Loyal
54,21,32,5,1,Price Sensitive
55,107,78,12,9,Premium Loyal
44,109,37,3,6,Wealthy Conservative
44,121,34,3,3,Wealthy Conservative
39,96,88,11,14,Premium Loyal
24,24,77,14,4,Impulse Young
46,123,70,21,11,Premium Loyal
51,92,35,3,6,Wealthy Conservative
44,137,47,6,7,Wealthy Conservative
51,115,73,11,12,Premium Loyal
36,98,88,21,12,Premium Loyal
27,42,89,13,2,Impulse Young
38,126,39,4,3,Wealthy Conservative
56,136,83,15,8,Premium Loyal
45,21,17,3,5,Price Sensitive
42,117,75,22,14,Premium Loyal
21,59,65,12,4,Impulse Young
51,148,31,9,5,Wealthy Conservative
42,20,32,2,4,Price Sensitive
27,58,83,18,1,Impulse Young
26,56,78,9,1,Impulse Young
19,41,86,10,2,Impulse Young
39,137,71,19,14,Premium Loyal
40,134,43,2,7,Wealthy Conservative
38,98,27,2,8,Wealthy Conservative
46,16,17,3,3,Price Sensitive
55,94,99,22,7,Premium Loyal
37,117,44,7,7,Wealthy Conservative
19,21,88,10,3,Impulse Young
58,16,38,3,1,Price Sensitive
39,128,41,9,5,Wealthy Conservative
18,24,68,15,1,Impulse Young
47,106,31,3,4,Wealthy Conservative
52,151,34,2,11,Wealthy Conservative
41,157,27,4,8,Wealthy Conservative
46,106,70,23,14,Premium Loyal
32,111,20,8,3,Wealthy Conservative
29,48,16,1,4,Price Sensitive
23,25,70,17,3,Impulse Young
27,32,28,6,3,Price Sensitive
31,17,28,6,3,Price Sensitive
41,128,25,9,11,Wealthy Conservative
55,129,99,24,7,Premium Loyal
43,95,35,3,8,Wealthy Conservative
39,133,99,10,5,Premium Loyal
48,109,44,3,7,Wealthy Conservative
18,44,83,12,3,Impulse Young
46,139,37,8,3,Wealthy Conservative
51,106,79,21,6,Premium Loyal
29,31,94,19,2,Impulse Young
39,133,84,13,8,Premium Loyal
33,16,32,5,3,Price Sensitive
36,90,82,12,12,Premium Loyal
47,158,49,3,4,Wealthy Conservative
37,28,33,4,2,Price Sensitive
41,116,36,7,8,Wealthy Conservative
27,59,91,8,1,Impulse Young
26,21,19,6,3,Price Sensitive
50,99,99,12,7,Premium Loyal
36,129,39,8,7,Wealthy Conservative
42,156,34,6,6,Wealthy Conservative
20,53,65,9,3,Impulse Young
54,132,79,14,8,Premium Loyal
41,122,98,16,13,Premium Loyal
45,49,22,6,5,Price Sensitive
32,101,30,4,3,Wealthy Conservative
42,139,32,2,10,Wealthy Conservative
19,25,84,15,1,Impulse Young
49,123,92,22,10,Premium Loyal
52,135,77,13,12,Premium Loyal
42,49,20,3,2,Price Sensitive
56,42,36,6,1,Price Sensitive
58,36,17,4,5,Price Sensitive
52,25,30,4,2,Price Sensitive
39,48,18,6,5,Price Sensitive
41,15,29,7,5,Price Sensitive
18,39,75,9,4,Impulse Young
29,35,12,4,2,Price Sensitive
49,91,84,17,10,Premium Loyal
19,50,74,13,3,Impulse Young
49,111,20,6,4,Wealthy Conservative
22,25,68,14,4,Impulse Young
31,155,38,2,7,Wealthy Conservative
43,120,77,22,13,Premium Loyal
47,148,91,22,7,Premium Loyal
22,33,70,14,3,Impulse Young
57,23,32,2,2,Price Sensitive
42,103,81,16,12,Premium Loyal
36,127,40,6,8,Wealthy Conservative
23,56,79,18,2,Impulse Young
45,121,46,7,11,Wealthy Conservative
24,26,65,17,4,Impulse Young
40,109,89,14,9,Premium Loyal
54,135,31,7,10,Wealthy Conservative
19,57,70,19,1,Impulse Young
18,23,86,19,2,Impulse Young
47,125,21,9,3,Wealthy Conservative
59,111,97,19,13,Premium Loyal
23,30,90,9,3,Impulse Young
36,81,98,17,8,Premium Loyal
52,94,22,5,3,Wealthy Conservative
52,41,34,7,5,Price Sensitive
58,138,97,16,9,Premium Loyal
22,36,71,19,2,Impulse Young
50,131,71,17,10,Premium Loyal
44,147,29,6,8,Wealthy Conservative
33,45,34,3,1,Price Sensitive
58,139,86,12,5,Premium Loyal
32,27,27,6,2,Price Sensitive
37,32,26,2,2,Price Sensitive
27,41,70,8,2,Impulse Young
27,18,30,5,5,Price Sensitive
28,28,68,10,2,Impulse Young
36,121,28,7,7,Wealthy Conservative
18,37,65,11,2,Impulse Young
22,50,91,15,1,Impulse Young
18,39,69,17,4,Impulse Young
49,131,86,22,5,Premium Loyal
37,150,43,8,6,Wealthy Conservative
29,35,13,4,2,Price Sensitive
28,33,27,7,4,Price Sensitive
43,94,43,8,7,Wealthy Conservative
41,140,92,14,5,Premium Loyal
46,130,20,8,3,Wealthy Conservative
31,145,31,8,9,Wealthy Conservative
45,92,75,15,7,Premium Loyal
29,55,68,15,2,Impulse Young
32,30,31,5,5,Price Sensitive
48,81,80,19,8,Premium Loyal
28,32,90,8,1,Impulse Young
20,50,70,14,3,Impulse Young
35,82,90,12,12,Premium Loyal
46,82,87,13,7,Premium Loyal
40,116,28,5,7,Wealthy Conservative
34,39,24,2,1,Price Sensitive
20,45,70,18,1,Impulse Young
31,44,26,7,1,Price Sensitive
42,156,37,3,6,Wealthy Conservative
42,112,82,19,8,Premium Loyal
41,39,35,3,1,Price Sensitive
59,42,26,4,1,Price Sensitive
37,104,82,20,6,Premium Loyal
20,25,76,10,4,Impulse Young
32,130,40,8,10,Wealthy Conservative
28,23,19,6,4,Price Sensitive
31,43,18,6,1,Price Sensitive
27,52,84,10,2,Impulse Young
27,59,73,12,4,Impulse Young
56,42,19,4,2,Price Sensitive
40,118,46,6,4,Wealthy Conservative
54,120,34,6,4,Wealthy Conservative
39,153,20,6,5,Wealthy Conservative
43,33,13,4,2,Price Sensitive
41,136,48,7,8,Wealthy Conservative
41,148,70,10,5,Premium Loyal
49,112,71,19,14,Premium Loyal
36,136,27,2,4,Wealthy Conservative
28,29,94,15,1,Impulse Young
25,27,85,16,2,Impulse Young
54,149,39,8,11,Wealthy Conservative
18,22,79,14,2,Impulse Young
21,59,79,13,3,Impulse Young
34,45,24,6,3,Price Sensitive
45,18,20,7,4,Price Sensitive
52,152,32,2,10,Wealthy Conservative
34,141,25,7,9,Wealthy Conservative
46,146,46,4,7,Wealthy Conservative
46,114,26,7,6,Wealthy Conservative
24,49,69,19,1,Impulse Young
25,21,79,10,3,Impulse Young
57,16,18,7,4,Price Sensitive
43,98,70,23,12,Premium Loyal
59,22,28,2,1,Price Sensitive
28,22,78,16,1,Impulse Young
29,33,85,19,4,Impulse Young
50,24,13,3,1,Price Sensitive
55,85,90,18,9,Premium Loyal
59,26,39,1,4,Price Sensitive
18,44,67,18,4,Impulse Young
28,28,18,6,4,Price Sensitive
55,118,71,14,9,Premium Loyal
26,49,11,5,4,Price Sensitive
46,122,25,5,9,Wealthy Conservative
44,118,40,6,10,Wealthy Conservative
50,36,31,4,3,Price Sensitive
23,40,78,18,1,Impulse Young
42,35,24,4,2,Price Sensitive
32,24,12,5,5,Price Sensitive
39,129,23,4,10,Wealthy Conservative
46,149,72,17,10,Premium Loyal
37,141,86,14,9,Premium Loyal
37,142,27,8,3,Wealthy Conservative
46,103,93,10,11,Premium Loyal
47,131,30,5,3,Wealthy Conservative
25,45,72,14,1,Impulse Young
46,99,97,18,9,Premium Loyal
29,25,94,16,4,Impulse Young
24,42,72,18,4,Impulse Young
47,110,91,11,8,Premium Loyal
53,131,96,19,6,Premium Loyal
25,57,74,11,2,Impulse Young
46,154,49,6,5,Wealthy Conservative
38,138,70,24,5,Premium Loyal
29,52,91,14,4,Impulse Young
37,106,81,16,9,Premium Loyal
19,55,65,13,2,Impulse Young
22,30,87,14,3,Impulse Young
20,37,72,12,3,Impulse Young
53,96,37,3,4,Wealthy Conservative
28,52,75,14,3,Impulse Young
42,37,24,1,4,Price Sensitive
47,100,44,5,3,Wealthy Conservative
35,117,95,14,5,Premium Loyal
32,29,35,5,3,Price Sensitive
39,28,22,4,2,Price Sensitive
35,102,27,4,7,Wealthy Conservative
49,151,36,6,11,Wealthy Conservative
49,147,94,11,14,Premium Loyal
38,140,21,8,5,Wealthy Conservative
23,22,89,16,1,Impulse Young
32,40,30,6,4,Price Sensitive
22,49,72,12,4,Impulse Young
42,136,95,21,8,Premium Loyal
32,30,11,2,2,Price Sensitive
19,30,80,15,2,Impulse Young
45,16,11,6,5,Price Sensitive
28,23,86,11,2,Impulse Young
40,46,26,5,2,Price Sensitive
25,23,32,1,5,Price Sensitive
30,43,21,6,1,Price Sensitive
56,141,72,23,9,Premium Loyal
44,143,21,5,5,Wealthy Conservative
46,127,95,16,6,Premium Loyal
25,53,94,15,2,Impulse Young
22,54,87,17,3,Impulse Young
43,35,25,4,4,Price Sensitive
59,37,17,4,4,Price Sensitive
37,29,14,3,1,Price Sensitive
53,111,26,2,4,Wealthy Conservative
21,20,74,8,3,Impulse Young
55,95,91,11,13,Premium Loyal
58,35,37,5,4,Price Sensitive
54,24,34,3,1,Price Sensitive
34,106,28,3,11,Wealthy Conservative
42,121,93,19,13,Premium Loyal
38,41,10,6,3,Price Sensitive
18,29,79,16,2,Impulse Young
28,45,30,4,2,Price Sensitive
44,114,46,4,4,Wealthy Conservative
41,148,38,7,11,Wealthy Conservative
26,43,11,5,5,Price Sensitive
38,117,95,13,7,Premium Loyal
49,17,13,4,4,Price Sensitive
47,134,26,7,4,Wealthy Conservative
37,157,47,3,7,Wealthy Conservative
36,153,33,5,11,Wealthy Conservative
20,44,74,13,3,Impulse Young
27,27,87,19,2,Impulse Young
41,143,22,8,7,Wealthy Conservative
35,49,24,7,5,Price Sensitive
49,98,99,13,7,Premium Loyal
36,129,28,4,4,Wealthy Conservative
59,81,78,19,10,Premium Loyal
51,96,97,20,11,Premium Loyal
22,28,73,14,4,Impulse Young
30,99,32,9,9,Wealthy Conservative
37,23,19,5,5,Price Sensitive
23,34,66,18,2,Impulse Young
37,134,93,10,14,Premium Loyal
35,45,12,5,4,Price Sensitive
19,56,93,13,2,Impulse Young
20,36,76,9,4,Impulse Young
57,87,88,10,9,Premium Loyal
34,44,32,7,5,Price Sensitive
46,43,18,5,2,Price Sensitive
46,119,41,3,11,Wealthy Conservative
35,127,79,17,6,Premium Loyal
32,129,47,4,9,Wealthy Conservative
54,142,86,17,7,Premium Loyal
29,24,81,12,4,Impulse Young
44,35,21,2,2,Price Sensitive
35,27,15,4,4,Price Sensitive
46,35,17,7,3,Price Sensitive
20,45,83,8,2,Impulse Young
36,101,20,4,4,Wealthy Conservative
49,148,37,4,7,Wealthy Conservative
52,94,25,5,6,Wealthy Conservative
24,59,77,10,1,Impulse Young
50,49,20,6,2,Price Sensitive
50,102,98,23,7,Premium Loyal
54,95,47,4,10,Wealthy Conservative
33,118,26,5,7,Wealthy Conservative
24,47,72,14,4,Impulse Young
34,106,31,5,8,Wealthy Conservative
39,18,14,2,1,Price Sensitive
50,39,14,2,1,Price Sensitive
27,47,22,6,2,Price Sensitive
50,124,31,4,10,Wealthy Conservative
41,112,89,18,5,Premium Loyal
43,124,34,3,3,Wealthy Conservative
43,147,85,13,9,Premium Loyal
46,94,49,6,3,Wealthy Conservative
43,20,29,2,3,Price Sensitive
30,100,33,5,11,Wealthy Conservative
38,82,83,22,7,Premium Loyal
48,135,82,21,7,Premium Loyal
19,43,77,10,1,Impulse Young
54,145,36,8,3,Wealthy Conservative
21,23,84,15,1,Impulse Young
28,24,86,9,1,Impulse Young
46,16,37,7,2,Price Sensitive
18,48,75,11,1,Impulse Young
30,37,39,4,3,Price Sensitive
53,103,76,14,14,Premium Loyal
42,119,92,20,9,Premium Loyal
55,38,37,3,4,Price Sensitive
26,25,79,13,1,Impulse Young
49,43,17,6,1,Price Sensitive
40,46,23,2,1,Price Sensitive
22,54,93,8,2,Impulse Young
44,49,26,3,2,Price Sensitive
26,54,90,11,4,Impulse Young
52,131,30,5,9,Wealthy Conservative
48,118,91,21,10,Premium Loyal
45,98,37,4,11,Wealthy Conservative
59,149,94,14,11,Premium Loyal
43,140,84,10,6,Premium Loyal
49,130,77,16,5,Premium Loyal
48,39,33,7,5,Price Sensitive
41,156,48,5,10,Wealthy Conservative
35,116,80,19,11,Premium Loyal
35,118,25,8,8,Wealthy Conservative
57,138,87,23,12,Premium Loyal
43,81,95,13,10,Premium Loyal
36,35,29,4,2,Price Sensitive
32,156,31,9,11,Wealthy Conservative
52,121,95,22,13,Premium Loyal
54,157,47,7,8,Wealthy Conservative
29,34,66,13,2,Impulse Young
21,39,72,10,2,Impulse Young
56,101,95,16,11,Premium Loyal
21,45,90,14,2,Impulse Young
35,145,99,17,13,Premium Loyal
46,19,34,1,1,Price Sensitive
23,50,88,8,3,Impulse Young
39,131,33,3,4,Wealthy Conservative
25,20,92,8,2,Impulse Young
47,145,39,2,9,Wealthy Conservative
42,116,36,6,4,Wealthy Conservative
54,111,84,23,14,Premium Loyal
41,117,47,7,7,Wealthy Conservative
35,100,90,18,14,Premium Loyal
48,109,44,5,4,Wealthy Conservative
34,104,22,5,10,Wealthy Conservative
44,114,72,18,10,Premium Loyal
45,138,22,3,11,Wealthy Conservative
48,19,26,1,2,Price Sensitive
58,107,97,23,13,Premium Loyal
39,47,18,5,5,Price Sensitive
39,109,70,12,13,Premium Loyal
45,32,16,6,5,Price Sensitive
34,152,24,7,5,Wealthy Conservative
54,106,21,5,8,Wealthy Conservative
43,136,28,8,7,Wealthy Conservative
45,83,81,14,8,Premium Loyal
42,148,94,21,14,Premium Loyal
23,40,65,11,2,Impulse Young
57,86,86,12,13,Premium Loyal
50,107,45,8,7,Wealthy Conservative
38,34,37,2,2,Price Sensitive
41,130,72,18,10,Premium Loyal
36,100,97,18,10,Premium Loyal
49,127,71,23,13,Premium Loyal
28,22,86,8,4,Impulse Young
26,49,30,4,2,Price Sensitive
54,96,26,8,7,Wealthy Conservative
41,82,86,11,7,Premium Loyal
48,32,33,1,5,Price Sensitive
34,34,28,7,3,Price Sensitive
45,118,45,3,5,Wealthy Conservative
55,29,37,5,4,Price Sensitive
53,153,45,3,9,Wealthy Conservative
29,20,72,12,1,Impulse Young
36,19,31,2,1,Price Sensitive
20,30,72,10,4,Impulse Young
25,44,87,11,1,Impulse Young
47,136,41,9,11,Wealthy Conservative
45,137,34,3,6,Wealthy Conservative
26,54,78,14,3,Impulse Young
52,129,33,4,10,Wealthy Conservative
49,87,92,16,6,Premium Loyal
58,133,81,13,14,Premium Loyal
54,103,33,7,7,Wealthy Conservative
27,59,73,10,3,Impulse Young
44,83,91,18,5,Premium Loyal
39,119,47,5,10,Wealthy Conservative
25,37,93,11,3,Impulse Young
27,33,69,8,1,Impulse Young
53,91,25,9,11,Wealthy Conservative
52,138,83,20,5,Premium Loyal
53,98,36,7,3,Wealthy Conservative
50,100,48,6,9,Wealthy Conservative
46,115,42,6,5,Wealthy Conservative
41,41,24,6,3,Price Sensitive
37,141,92,16,6,Premium Loyal
49,116,72,14,14,Premium Loyal
24,27,71,8,2,Impulse Young
22,58,83,18,2,Impulse Young
40,18,37,5,1,Price Sensitive
43,103,39,4,8,Wealthy Conservative
18,41,87,8,1,Impulse Young
25,21,77,9,3,Impulse Young
25,32,89,16,3,Impulse Young
22,57,79,16,4,Impulse Young
47,49,33,7,1,Price Sensitive
33,32,10,7,3,Price Sensitive
28,29,36,7,4,Price Sensitive
27,33,89,14,3,Impulse Young
52,46,31,5,5,Price Sensitive
46,115,81,14,13,Premium Loyal
33,28,25,2,4,Price Sensitive
54,32,20,2,1,Price Sensitive
27,23,75,10,2,Impulse Young
23,49,68,19,1,Impulse Young
40,27,39,4,5,Price Sensitive
45,47,10,6,1,Price Sensitive
57,27,28,3,1,Price Sensitive
31,137,40,7,9,Wealthy Conservative
33,95,47,2,9,Wealthy Conservative
32,149,44,9,8,Wealthy Conservative
51,147,33,5,9,Wealthy Conservative
28,47,93,8,3,Impulse Young
33,93,27,2,11,Wealthy Conservative
27,25,18,6,2,Price Sensitive
36,127,27,6,7,Wealthy Conservative
27,33,92,14,3,Impulse Young
54,32,26,2,2,Price Sensitive
44,40,35,3,1,Price Sensitive
54,48,32,7,5,Price Sensitive
45,121,44,7,10,Wealthy Conservative
18,30,74,13,1,Impulse Young
36,147,49,9,4,Wealthy Conservative
37,112,97,10,12,Premium Loyal
23,21,82,13,3,Impulse Young
48,28,17,5,5,Price Sensitive
41,88,74,19,14,Premium Loyal
28,48,39,3,3,Price Sensitive
22,29,72,9,1,Impulse Young
18,31,83,14,1,Impulse Young
59,46,34,1,4,Price Sensitive
45,112,74,19,8,Premium Loyal
56,39,23,7,5,Price Sensitive
58,124,98,12,8,Premium Loyal
31,46,17,1,4,Price Sensitive
34,102,21,8,4,Wealthy Conservative
20,57,88,11,1,Impulse Young
46,29,14,3,4,Price Sensitive
58,146,93,13,6,Premium Loyal
24,30,91,10,1,Impulse Young
28,21,21,5,3,Price Sensitive
59,131,91,14,13,Premium Loyal
25,56,68,17,1,Impulse Young
20,43,69,18,4,Impulse Young
52,91,27,2,3,Wealthy Conservative
31,120,28,3,6,Wealthy Conservative
47,49,20,2,1,Price Sensitive
35,26,33,5,3,Price Sensitive
32,40,30,5,5,Price Sensitive
19,39,79,9,2,Impulse Young
58,127,77,11,10,Premium Loyal
19,55,79,15,2,Impulse Young
44,149,77,10,5,Premium Loyal
44,30,14,3,5,Price Sensitive
22,36,71,9,3,Impulse Young
24,51,73,10,3,Impulse Young
49,26,17,3,1,Price Sensitive
34,30,23,1,2,Price Sensitive
53,108,83,24,11,Premium Loyal
23,53,86,17,3,Impulse Young
51,47,29,1,5,Price Sensitive
39,92,45,8,10,Wealthy Conservative
43,95,37,7,3,Wealthy Conservative
29,41,84,12,4,Impulse Young
42,112,25,5,4,Wealthy Conservative
34,128,48,7,7,Wealthy Conservative
25,38,91,17,2,Impulse Young
51,23,21,2,4,Price Sensitive
43,127,75,19,10,Premium Loyal
41,91,79,15,9,Premium Loyal
20,28,76,15,3,Impulse Young
52,103,76,17,6,Premium Loyal
54,110,27,7,8,Wealthy Conservative
35,80,92,23,11,Premium Loyal
41,111,95,13,7,Premium Loyal
30,99,32,5,10,Wealthy Conservative
38,98,84,10,10,Premium Loyal
19,23,69,9,2,Impulse Young
33,134,37,9,9,Wealthy Conservative
21,34,93,9,4,Impulse Young
38,149,73,11,8,Premium Loyal
42,142,20,5,3,Wealthy Conservative
29,42,81,10,2,Impulse Young
26,20,17,4,5,Price Sensitive
28,30,65,9,2,Impulse Young
52,102,43,5,7,Wealthy Conservative
44,88,91,19,13,Premium Loyal
46,18,25,6,3,Price Sensitive
26,29,90,15,3,Impulse Young
32,36,18,4,5,Price Sensitive
23,58,79,9,1,Impulse Young
36,159,22,9,3,Wealthy Conservative
54,31,26,3,1,Price Sensitive
59,90,94,22,9,Premium Loyal
41,102,30,7,5,Wealthy Conservative
57,107,95,18,10,Premium Loyal
